id,feature_key,display_name,category,feature_type,description,rollout_status,created_at,updated_at,archived_at,is_toggleable,is_removable,lock_reason,is_system_feature
9752f0ed-e07c-4e09-ac46-d35148def2d2,travel_plans,Travel Plans,Support Tools,module,Database table: travel_plans,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
97d0ad0a-496a-48ea-8911-f5b87661a391,programdetail,Program Details,Support Tools,module,,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9a703e64-5eab-4a00-a0a3-999eb1e4ebc6,admin_organizations,Admin Organizations,Support Tools,module,Database table: admin_organizations,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9abb4c4b-8f60-4b65-a218-10dadc2cad85,roster,Team Roster,Teams & Rosters,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9bedb1ae-2195-403f-9c80-868aea63f368,org_payment_policies,Org Payment Policies,Payments,module,Database table: org_payment_policies,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9c0b4a9b-57e9-415a-919a-eb53a3c029b7,event_rsvps,Event Rsvps,Scheduling & Calendar,module,Database table: event_rsvps,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9cc99f8f-392c-4811-822b-b16aa2209a12,organization_attendance_settings,Organization Attendance Settings,Support Tools,module,Database table: organization_attendance_settings,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9d9559ac-d1e2-4c8a-8d98-d562756ab930,organizationsettings,Organizationsettings,Support Tools,module,Service Module: organizationSettingsService.ts,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9e134d77-d6d1-4bf9-876e-1abfce89c350,payment_allocations,Payment Allocations,Payments,module,Database table: payment_allocations,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9e9fe110-db37-4740-b798-fabac7d9ea43,admin_entitlement_overrides_list,Admin Entitlement Overrides List,Support Tools,module,Database table: admin_entitlement_overrides_list,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9ed6e56f-52d5-490c-94d2-009c079c27da,admin_structure,Admin Structure,Support Tools,module,Database table: admin_structure,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
9f2f3dde-95e8-4d2c-85d6-de7f4263ba75,feature_flag_platform_defaults,Feature Flag Platform Defaults,Support Tools,module,Database table: feature_flag_platform_defaults,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
a0584096-57d8-4822-9a10-c22a9f51766e,traveldetail,Travel Details,Travel,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
a0ba5c46-71c3-4d06-9b29-c5b9d8439908,billing,Billing,Payments,module,Plan and billing,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
a1534958-aef2-4d73-853f-049c51003c15,overview,Overview,Support Tools,module,Licenses overview,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
a287a3e8-89d2-4c66-a884-d46d2a147bc6,charges,Charges,Support Tools,module,Database table: charges,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
a3d8ae0c-670a-4d0b-a456-a3cf8168cd9e,stream_channels,Stream Channels,Support Tools,module,Database table: stream_channels,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
